Address_Hex,Address_Dec,Name,Active,Status
0x06F1,1777,Ausgang 0x06F1,False,Inactive
0x06F2,1778,Ausgang 0x06F2,False,Inactive
0x06F3,1779,Ausgang 0x06F3,False,Inactive
0x06F4,1780,Ausgang 0x06F4,False,Inactive
0x06F5,1781,Ausgang 0x06F5,False,Inactive
0x06F6,1782,Ausgang 0x06F6,False,Inactive
0x06F7,1783,Ausgang 0x06F7,False,Inactive
0x06F8,1784,Ausgang 0x06F8,False,Inactive
0x06F9,1785,Ausgang 0x06F9,False,Inactive
0x06FA,1786,Ausgang 0x06FA,False,Inactive
0x06FB,1787,Ausgang 0x06FB,False,Inactive
0x06FC,1788,Ausgang 0x06FC,False,Inactive
0x06FD,1789,Ausgang 0x06FD,False,Inactive
0x06FE,1790,Ausgang 0x06FE,False,Inactive
0x06FF,1791,Ausgang 0x06FF,False,Inactive
0x0700,1792,Ausgang 0x0700,False,Inactive
0x0701,1793,Ausgang 0x0701,False,Inactive
0x0702,1794,Ausgang 0x0702,False,Inactive
0x0703,1795,Ausgang 0x0703,False,Inactive
0x0704,1796,Ausgang 0x0704,False,Inactive
0x0705,1797,Ausgang 0x0705,False,Inactive
0x0706,1798,Ausgang 0x0706,False,Inactive
0x0707,1799,Ausgang 0x0707,False,Inactive
0x0708,1800,Ausgang 0x0708,False,Inactive
0x0709,1801,Ausgang 0x0709,False,Inactive
0x070A,1802,Ausgang 0x070A,False,Inactive
0x070B,1803,Ausgang 0x070B,False,Inactive
0x070C,1804,Ausgang 0x070C,False,Inactive
0x070D,1805,Ausgang 0x070D,False,Inactive
0x070E,1806,Ausgang 0x070E,False,Inactive
0x070F,1807,Ausgang 0x070F,False,Inactive
0x0710,1808,Ausgang 0x0710,False,Inactive
0x0711,1809,Ausgang 0x0711,False,Inactive
0x0712,1810,Ausgang 0x0712,False,Inactive
0x0713,1811,Ausgang 0x0713,False,Inactive
0x0714,1812,Ausgang 0x0714,False,Inactive
0x0715,1813,Ausgang 0x0715,False,Inactive
0x0716,1814,Ausgang 0x0716,False,Inactive
0x0717,1815,Ausgang 0x0717,False,Inactive
0x0718,1816,Ausgang 0x0718,False,Inactive
0x0719,1817,Ausgang 0x0719,False,Inactive
0x071A,1818,Ausgang 0x071A,False,Inactive
0x071B,1819,Ausgang 0x071B,False,Inactive
0x071C,1820,Ausgang 0x071C,False,Inactive
0x071D,1821,Ausgang 0x071D,False,Inactive
0x071E,1822,Ausgang 0x071E,False,Inactive
0x071F,1823,Ausgang 0x071F,False,Inactive
0x0720,1824,Ausgang 0x0720,False,Inactive
0x0721,1825,Ausgang 0x0721,False,Inactive
0x0722,1826,Ausgang 0x0722,False,Inactive
0x0723,1827,Ausgang 0x0723,False,Inactive
