Address_Hex,Address_Dec,Name,Type,Active,Status
0x00C6,198,Bedienteil 5 Keine Antwort,bedienteile,False,Inactive
0x00C7,199,Bedienteil 5 Sondertaste,bedienteile,False,Inactive
0x00C8,200,Bedienteil 6 Deckelkontakt BT,bedienteile,False,Inactive
0x00C9,201,Bedienteil 6 Deckelkontakt AT,bedienteile,False,Inactive
0x00CA,202,Bedienteil 6 Keine Antwort,bedienteile,False,Inactive
0x00CB,203,Bedienteil 6 Sondertaste,bedienteile,False,Inactive
0x00CC,204,Bedienteil 7 Deckelkontakt BT,bedienteile,False,Inactive
0x00CD,205,Bedienteil 7 Deckelkontakt AT,bedienteile,False,Inactive
0x00CE,206,Bedienteil 7 Keine Antwort,bedienteile,False,Inactive
0x00CF,207,Bedienteil 7 Sondertaste,bedienteile,False,Inactive
0x00D0,208,Bedienteil 8 Deckelkontakt BT,bedienteile,False,Inactive
0x00D1,209,Bedienteil 8 Deckelkontakt AT,bedienteile,False,Inactive
0x00D2,210,Bedienteil 8 Keine Antwort,bedienteile,False,Inactive
0x00D3,211,Bedienteil 8 Sondertaste,bedienteile,False,Inactive
0x00D4,212,Bedienteil 9 Deckelkontakt BT,bedienteile,False,Inactive
0x00D5,213,Bedienteil 9 Deckelkontakt AT,bedienteile,False,Inactive
0x00D6,214,Bedienteil 9 Keine Antwort,bedienteile,False,Inactive
0x00D7,215,Bedienteil 9 Sondertaste,bedienteile,False,Inactive
0x00D8,216,Bedienteil 10 Deckelkontakt BT,bedienteile,False,Inactive
0x00D9,217,Bedienteil 10 Deckelkontakt AT,bedienteile,False,Inactive
0x00DA,218,Bedienteil 10 Keine Antwort,bedienteile,False,Inactive
0x00DB,219,Bedienteil 10 Sondertaste,bedienteile,False,Inactive
0x00DC,220,Bedienteil 11 Deckelkontakt BT,bedienteile,False,Inactive
0x00DD,221,Bedienteil 11 Deckelkontakt AT,bedienteile,False,Inactive
0x00DE,222,Bedienteil 11 Keine Antwort,bedienteile,False,Inactive
0x00DF,223,Bedienteil 11 Sondertaste,bedienteile,False,Inactive
0x00E0,224,Bedienteil 12 Deckelkontakt BT,bedienteile,False,Inactive
0x00E1,225,Bedienteil 12 Deckelkontakt AT,bedienteile,False,Inactive
0x00E2,226,Bedienteil 12 Keine Antwort,bedienteile,False,Inactive
0x00E3,227,Bedienteil 12 Sondertaste,bedienteile,False,Inactive
0x00E4,228,Bedienteil 13 Deckelkontakt BT,bedienteile,False,Inactive
0x00E5,229,Bedienteil 13 Deckelkontakt AT,bedienteile,False,Inactive
0x00E6,230,Bedienteil 13 Keine Antwort,bedienteile,False,Inactive
0x00E7,231,Bedienteil 13 Sondertaste,bedienteile,False,Inactive
0x00E8,232,Bedienteil 14 Deckelkontakt BT,bedienteile,False,Inactive
0x00E9,233,Bedienteil 14 Deckelkontakt AT,bedienteile,False,Inactive
0x00EA,234,Bedienteil 14 Keine Antwort,bedienteile,False,Inactive
0x00EB,235,Bedienteil 14 Sondertaste,bedienteile,False,Inactive
0x00EC,236,Bedienteil 15 Deckelkontakt BT,bedienteile,False,Inactive
0x00ED,237,Bedienteil 15 Deckelkontakt AT,bedienteile,False,Inactive
0x00EE,238,Bedienteil 15 Keine Antwort,bedienteile,False,Inactive
0x00EF,239,Bedienteil 15 Sondertaste,bedienteile,False,Inactive
0x00F0,240,Eingang 0x00F0,comlock410_0_7,False,Inactive
0x00F1,241,Eingang 0x00F1,comlock410_0_7,False,Inactive
0x00F2,242,Eingang 0x00F2,comlock410_0_7,False,Inactive
0x00F3,243,Eingang 0x00F3,comlock410_0_7,False,Inactive
0x00F4,244,Eingang 0x00F4,comlock410_0_7,False,Inactive
0x00F5,245,Eingang 0x00F5,comlock410_0_7,False,Inactive
0x00F6,246,Eingang 0x00F6,comlock410_0_7,False,Inactive
0x00F7,247,Eingang 0x00F7,comlock410_0_7,False,Inactive
0x00F8,248,Eingang 0x00F8,comlock410_0_7,False,Inactive
0x00F9,249,Eingang 0x00F9,comlock410_0_7,False,Inactive
0x00FA,250,Eingang 0x00FA,comlock410_0_7,False,Inactive
0x00FB,251,Eingang 0x00FB,comlock410_0_7,False,Inactive
0x00FC,252,Eingang 0x00FC,comlock410_0_7,False,Inactive
0x00FD,253,Eingang 0x00FD,comlock410_0_7,False,Inactive
0x00FE,254,Eingang 0x00FE,comlock410_0_7,False,Inactive
0x00FF,255,Eingang 0x00FF,comlock410_0_7,False,Inactive
0x0100,256,Eingang 0x0100,comlock410_0_7,False,Inactive
0x0101,257,Eingang 0x0101,comlock410_0_7,False,Inactive
0x0102,258,Eingang 0x0102,comlock410_0_7,False,Inactive
0x0103,259,Eingang 0x0103,comlock410_0_7,False,Inactive
0x0104,260,Eingang 0x0104,comlock410_0_7,False,Inactive
0x0105,261,Eingang 0x0105,comlock410_0_7,False,Inactive
0x0106,262,Eingang 0x0106,comlock410_0_7,False,Inactive
0x0107,263,Eingang 0x0107,comlock410_0_7,False,Inactive
0x0108,264,Eingang 0x0108,comlock410_0_7,False,Inactive
0x0109,265,Eingang 0x0109,comlock410_0_7,False,Inactive
0x010A,266,Eingang 0x010A,comlock410_0_7,False,Inactive
0x010B,267,Eingang 0x010B,comlock410_0_7,False,Inactive
0x010C,268,Eingang 0x010C,comlock410_0_7,False,Inactive
0x010D,269,Eingang 0x010D,comlock410_0_7,False,Inactive
0x010E,270,Eingang 0x010E,comlock410_0_7,False,Inactive
0x010F,271,Eingang 0x010F,comlock410_0_7,False,Inactive
0x0110,272,Eingang 0x0110,comlock410_0_7,False,Inactive
0x0111,273,Eingang 0x0111,comlock410_0_7,False,Inactive
0x0112,274,Eingang 0x0112,comlock410_0_7,False,Inactive
0x0113,275,Eingang 0x0113,comlock410_0_7,False,Inactive
0x0114,276,Eingang 0x0114,comlock410_0_7,False,Inactive
0x0115,277,Eingang 0x0115,comlock410_0_7,False,Inactive
0x0116,278,Eingang 0x0116,comlock410_0_7,False,Inactive
0x0117,279,Eingang 0x0117,comlock410_0_7,False,Inactive
0x0118,280,Eingang 0x0118,comlock410_0_7,False,Inactive
0x0119,281,Eingang 0x0119,comlock410_0_7,False,Inactive
0x011A,282,Eingang 0x011A,comlock410_0_7,False,Inactive
0x011B,283,Eingang 0x011B,comlock410_0_7,False,Inactive
0x011C,284,Eingang 0x011C,comlock410_0_7,False,Inactive
0x011D,285,Eingang 0x011D,comlock410_0_7,False,Inactive
0x011E,286,Eingang 0x011E,comlock410_0_7,False,Inactive
0x011F,287,Eingang 0x011F,comlock410_0_7,False,Inactive
0x0120,288,Eingang 0x0120,comlock410_0_7,False,Inactive
0x0121,289,Eingang 0x0121,comlock410_0_7,False,Inactive
0x0122,290,Eingang 0x0122,comlock410_0_7,False,Inactive
0x0123,291,Eingang 0x0123,comlock410_0_7,False,Inactive
0x0124,292,Eingang 0x0124,comlock410_0_7,False,Inactive
0x0125,293,Eingang 0x0125,comlock410_0_7,False,Inactive
0x0126,294,Eingang 0x0126,comlock410_0_7,False,Inactive
0x0127,295,Eingang 0x0127,comlock410_0_7,False,Inactive
0x0128,296,Eingang 0x0128,comlock410_0_7,False,Inactive
0x0129,297,Eingang 0x0129,comlock410_0_7,False,Inactive
0x012A,298,Eingang 0x012A,comlock410_0_7,False,Inactive
0x012B,299,Eingang 0x012B,comlock410_0_7,False,Inactive
0x012C,300,Eingang 0x012C,comlock410_0_7,False,Inactive
0x012D,301,Eingang 0x012D,comlock410_0_7,False,Inactive
0x012E,302,Eingang 0x012E,comlock410_0_7,False,Inactive
0x012F,303,Eingang 0x012F,comlock410_0_7,False,Inactive
0x0130,304,Eingang 0x0130,comlock410_0_7,False,Inactive
0x0131,305,Eingang 0x0131,comlock410_0_7,False,Inactive
0x0132,306,Eingang 0x0132,comlock410_0_7,False,Inactive
0x0133,307,Eingang 0x0133,comlock410_0_7,False,Inactive
0x0134,308,Eingang 0x0134,comlock410_0_7,False,Inactive
0x0135,309,Eingang 0x0135,comlock410_0_7,False,Inactive
0x0136,310,Eingang 0x0136,comlock410_0_7,False,Inactive
0x0137,311,Eingang 0x0137,comlock410_0_7,False,Inactive
0x0138,312,Eingang 0x0138,comlock410_0_7,False,Inactive
0x0139,313,Eingang 0x0139,comlock410_0_7,False,Inactive
0x013A,314,Eingang 0x013A,comlock410_0_7,False,Inactive
0x013B,315,Eingang 0x013B,comlock410_0_7,False,Inactive
0x013C,316,Eingang 0x013C,comlock410_0_7,False,Inactive
0x013D,317,Eingang 0x013D,comlock410_0_7,False,Inactive
0x013E,318,Eingang 0x013E,comlock410_0_7,False,Inactive
0x013F,319,Eingang 0x013F,comlock410_0_7,False,Inactive
0x0140,320,Eingang 0x0140,comlock410_0_7,False,Inactive
0x0141,321,Eingang 0x0141,comlock410_0_7,False,Inactive
0x0142,322,Eingang 0x0142,comlock410_0_7,False,Inactive
0x0143,323,Eingang 0x0143,comlock410_0_7,False,Inactive
0x0144,324,Eingang 0x0144,comlock410_0_7,False,Inactive
0x0145,325,Eingang 0x0145,comlock410_0_7,False,Inactive
0x0146,326,Eingang 0x0146,comlock410_0_7,False,Inactive
0x0147,327,Eingang 0x0147,comlock410_0_7,False,Inactive
0x0148,328,Eingang 0x0148,comlock410_0_7,False,Inactive
0x0149,329,Eingang 0x0149,comlock410_0_7,False,Inactive
0x014A,330,Eingang 0x014A,comlock410_0_7,False,Inactive
0x014B,331,Eingang 0x014B,comlock410_0_7,False,Inactive
0x014C,332,Eingang 0x014C,comlock410_0_7,False,Inactive
0x014D,333,Eingang 0x014D,comlock410_0_7,False,Inactive
0x014E,334,Eingang 0x014E,comlock410_0_7,False,Inactive
0x014F,335,Eingang 0x014F,comlock410_0_7,False,Inactive
0x0150,336,Eingang 0x0150,comlock410_0_7,False,Inactive
0x0151,337,Eingang 0x0151,comlock410_0_7,False,Inactive
0x0152,338,Eingang 0x0152,comlock410_0_7,False,Inactive
0x0153,339,Eingang 0x0153,comlock410_0_7,False,Inactive
0x0154,340,Eingang 0x0154,comlock410_0_7,False,Inactive
0x0155,341,Eingang 0x0155,comlock410_0_7,False,Inactive
0x0156,342,Eingang 0x0156,comlock410_0_7,False,Inactive
0x0157,343,Eingang 0x0157,comlock410_0_7,False,Inactive
0x0158,344,Eingang 0x0158,comlock410_0_7,False,Inactive
0x0159,345,Eingang 0x0159,comlock410_0_7,False,Inactive
0x015A,346,Eingang 0x015A,comlock410_0_7,False,Inactive
0x015B,347,Eingang 0x015B,comlock410_0_7,False,Inactive
0x015C,348,Eingang 0x015C,comlock410_0_7,False,Inactive
0x015D,349,Eingang 0x015D,comlock410_0_7,False,Inactive
0x015E,350,Eingang 0x015E,comlock410_0_7,False,Inactive
0x015F,351,Eingang 0x015F,comlock410_0_7,False,Inactive
0x0160,352,Eingang 0x0160,comlock410_0_7,False,Inactive
0x0161,353,Eingang 0x0161,comlock410_0_7,False,Inactive
0x0162,354,Eingang 0x0162,comlock410_0_7,False,Inactive
0x0163,355,Eingang 0x0163,comlock410_0_7,False,Inactive
0x0164,356,Eingang 0x0164,comlock410_0_7,False,Inactive
0x0165,357,Eingang 0x0165,comlock410_0_7,False,Inactive
0x0166,358,Eingang 0x0166,comlock410_0_7,False,Inactive
0x0167,359,Eingang 0x0167,comlock410_0_7,False,Inactive
0x0168,360,Eingang 0x0168,comlock410_0_7,False,Inactive
0x0169,361,Eingang 0x0169,comlock410_0_7,False,Inactive
0x016A,362,Eingang 0x016A,comlock410_0_7,False,Inactive
0x016B,363,Eingang 0x016B,comlock410_0_7,False,Inactive
0x016C,364,Eingang 0x016C,comlock410_0_7,False,Inactive
0x016D,365,Eingang 0x016D,comlock410_0_7,False,Inactive
0x016E,366,Eingang 0x016E,comlock410_0_7,False,Inactive
0x016F,367,Eingang 0x016F,comlock410_0_7,False,Inactive
0x0170,368,Eingang 0x0170,comslave,False,Inactive
0x0171,369,Eingang 0x0171,comslave,False,Inactive
0x0172,370,Eingang 0x0172,comslave,False,Inactive
0x0173,371,Eingang 0x0173,comslave,False,Inactive
0x0174,372,Eingang 0x0174,comslave,False,Inactive
0x0175,373,Eingang 0x0175,comslave,False,Inactive
0x0176,374,Eingang 0x0176,comslave,False,Inactive
0x0177,375,Eingang 0x0177,comslave,False,Inactive
0x0178,376,Eingang 0x0178,comslave,False,Inactive
0x0179,377,Eingang 0x0179,comslave,False,Inactive
0x017A,378,Eingang 0x017A,comslave,False,Inactive
0x017B,379,Eingang 0x017B,comslave,False,Inactive
0x017C,380,Eingang 0x017C,comslave,False,Inactive
0x017D,381,Eingang 0x017D,comslave,False,Inactive
0x017E,382,Eingang 0x017E,comslave,False,Inactive
0x017F,383,Eingang 0x017F,comslave,False,Inactive
0x0180,384,Eingang 0x0180,comslave,False,Inactive
0x0181,385,Eingang 0x0181,comslave,False,Inactive
0x0182,386,Eingang 0x0182,comslave,False,Inactive
0x0183,387,Eingang 0x0183,comslave,False,Inactive
0x0184,388,Eingang 0x0184,comslave,False,Inactive
0x0185,389,Eingang 0x0185,comslave,False,Inactive
0x0186,390,Eingang 0x0186,comslave,False,Inactive
0x0187,391,Eingang 0x0187,comslave,False,Inactive
0x0188,392,Eingang 0x0188,comslave,False,Inactive
0x0189,393,Eingang 0x0189,comslave,False,Inactive
0x018A,394,Eingang 0x018A,comslave,False,Inactive
0x018B,395,Eingang 0x018B,comslave,False,Inactive
0x018C,396,Eingang 0x018C,comslave,False,Inactive
0x018D,397,Eingang 0x018D,comslave,False,Inactive
0x018E,398,Eingang 0x018E,comslave,False,Inactive
0x018F,399,Eingang 0x018F,comslave,False,Inactive
0x0190,400,Eingang 0x0190,comslave,False,Inactive
